url,price,area,rooms,location,private
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-balkon-ID4pvyq,,39.85,TWO,Wełnowiec-Józefowiec,False
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-katowice-baildona-debowe-ID4sOSv,539999.0,36.0,TWO,Dąb,True
https://www.otodom.pl/pl/oferta/dwupak-w-centrum-bez-prowizji-roi-9-5-ID4sZpF,429000.0,62.49,THREE,Śródmieście,False
https://www.otodom.pl/pl/oferta/mieszkanie-typu-studio-ID4tajK,246500.0,29.0,ONE,Śródmieście,False
https://www.otodom.pl/pl/oferta/3-pokoje-balkon-ciche-osiedle-blisko-silesii-cc-ID4sZjS,420000.0,51.11,THREE,Załęże,True
https://www.otodom.pl/pl/oferta/najpiekniejsze-mieszkanie-w-kato-mega-lokalizacja-ID4qICu,1435298.0,81.32,THREE,Brynów-Osiedle Zgrzebnioka,False
https://www.otodom.pl/pl/oferta/swietne-mieszkanie-w-calkowicie-nowej-lokalizacji-ID4taia,782976.0,81.56,FOUR,Bogucice,False
https://www.otodom.pl/pl/oferta/mieszkanie-88-m2-w-centrum-swiezo-po-remoncie-ID4tahY,888000.0,88.0,TWO,Śródmieście,True
https://www.otodom.pl/pl/oferta/nowa-inwestycja-koszutka-kameralny-bud-3-pok-ID4omkJ,517452.0,48.36,THREE,Dąb,False
https://www.otodom.pl/pl/oferta/wysoki-standard-glamour-recepcja-ochrona-sauna-ID4rJeM,839000.0,94.0,THREE,Dąb,True
https://www.otodom.pl/pl/oferta/recepcja-silownia-sauna-parking-apartamentowiec-ID4sNfs,659000.0,74.0,THREE,Wełnowiec-Józefowiec,True
https://www.otodom.pl/pl/oferta/nowoczesny-budynek-recepcja-sauna-silownia-ID4sNg9,759000.0,85.0,THREE,Wełnowiec-Józefowiec,True
https://www.otodom.pl/pl/oferta/piekny-apartament-z-tarasem-recepcja-loggia-ID4p6BH,1649000.0,145.0,FIVE,Koszutka,True
https://www.otodom.pl/pl/oferta/os-franciszkanskie-cisza-i-zielen-ktore-docenisz-ID4rpEl,829900.0,77.57,FOUR,Ligota-Panewniki,False
https://www.otodom.pl/pl/oferta/3-pok-56-17-m2-2-x-parking-do-zamieszkania-ID4t8Up,943656.0,56.17,THREE,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/park-medykow-mieszkanie-m56-ID4ljEO,764263.0,78.79,THREE,Ligota-Panewniki,False
https://www.otodom.pl/pl/oferta/dwa-pokoje-43-m2-paderewskiego-ID4rGdn,390000.0,43.35,TWO,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/damrota-garden-apartament-4-pok-16-ID4osfD,,83.55,FOUR,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/swietna-lokalizacja-45-m-2-4-pokoje-ID4qPQM,385000.0,45.0,TWO,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-ogrodek-bez-prowizji-ID4gfsR,946262.0,59.89,THREE,Dąb,False
https://www.otodom.pl/pl/oferta/mieszkanie-katowice-centrum-srodmiescie-bezposredn-ID4sZa6,498000.0,56.3,TWO,Śródmieście,True
https://www.otodom.pl/pl/oferta/trzypokojowe-w-top-lokalizacji-katowic-ID4snZI,459000.0,59.4,THREE,Koszutka,False
https://www.otodom.pl/pl/oferta/centrum-katowice-zabrska-mickiewicza-25-pietro-ID4t9ZE,623244.0,40.08,TWO,Koszutka,False
https://www.otodom.pl/pl/oferta/centrum-katowice-zabrska-mickiewicza-22-pietro-ID4ta0i,376673.0,26.64,ONE,Koszutka,False
https://www.otodom.pl/pl/oferta/urokliwy-apartament-z-garderoba-wysoki-standard-ID4ta7H,479000.0,40.0,TWO,Osiedle Tysiąclecia,True
https://www.otodom.pl/pl/oferta/ustawny-penthouse-z-3-tarasami-na-szybowcowej-ID4rhqe,1250000.0,97.0,FOUR,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/apartament-3-pokoje-bazantow-moderna-ID4sCw6,860000.0,72.0,THREE,Kostuchna,False
https://www.otodom.pl/pl/oferta/apartament-w-centrum-katowic-z-winda-ID4sLdu,790000.0,59.0,TWO,Koszutka,False
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-99m2-balkon-bezposrednio-ID4fCd2,957408.0,99.73,FOUR,Piotrowice-Ochojec,False
https://www.otodom.pl/pl/oferta/ul-rozana-3-pietro-domu-garaz-ogrod-ID4ta75,990000.0,136.04,FIVE,Śródmieście,False
https://www.otodom.pl/pl/oferta/ostatni-apart-z-balkonem-na-10-pietrze-ID4ta6X,588000.0,42.0,TWO,Śródmieście,False
https://www.otodom.pl/pl/oferta/osiedle-dworska-mieszkanie-b25-ID4k9eC,558258.0,48.97,TWO,Brynów-Osiedle Zgrzebnioka,False
https://www.otodom.pl/pl/oferta/nowy-apartament-premium-do-zamieszkania-ID4s2Qd,799000.0,47.85,TWO,Śródmieście,True
https://www.otodom.pl/pl/oferta/apartament-z-widokiem-na-park-garaz-komorka-pcc0-ID4sEVA,1040000.0,61.62,THREE,Osiedle Paderewskiego-Muchowiec,True
https://www.otodom.pl/pl/oferta/z-wyposazeniem-gdanska-3-pok-62-m-parking-ID4sbSD,515000.0,62.0,THREE,Ligota-Panewniki,False
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-60m2-z-winda-os-witosa-ID4pBL2,480000.0,60.0,THREE,Osiedle Witosa,False
https://www.otodom.pl/pl/oferta/piekny-apartament-po-remoncie-na-tysiacleciu-ID4rV5i,570000.0,57.0,THREE,Osiedle Tysiąclecia,False
https://www.otodom.pl/pl/oferta/apartament-77-m2-w-centrum-katowic-ID4ta0V,960000.0,77.0,FIVE,Śródmieście,False
https://www.otodom.pl/pl/oferta/idealna-propozycja-dla-rodziny-m5-ID4sWv1,485000.0,50.3,FOUR,Piotrowice-Ochojec,False
https://www.otodom.pl/pl/oferta/centrum-katowice-zabrska-mickiewicza-22-pietro-ID4ta0O,508329.0,36.18,ONE,Koszutka,False
https://www.otodom.pl/pl/oferta/kawalerka-lux-w-samym-centrum-katowic-ID4ta0C,360070.79,26.38,ONE,Śródmieście,False
https://www.otodom.pl/pl/oferta/kawalerka-lux-w-samym-centrum-katowic-ID4ta0z,378313.66,29.43,ONE,Śródmieście,False
https://www.otodom.pl/pl/oferta/kawalerka-lux-w-samym-centrum-katowic-ID4ta0B,360070.79,26.38,ONE,Śródmieście,False
https://www.otodom.pl/pl/oferta/2-pokoje-lux-w-samym-centrum-katowic-ID4ta0x,442135.0,38.51,TWO,Śródmieście,False
https://www.otodom.pl/pl/oferta/apartament-72m2-w-centrum-katowic-ID4ta0r,828000.0,72.0,THREE,Śródmieście,False
https://www.otodom.pl/pl/oferta/kawalerka-lux-w-samym-centrum-katowic-ID4ta0s,347671.81,26.34,ONE,Śródmieście,False
https://www.otodom.pl/pl/oferta/4-pokoje-w-samym-centrum-katowic-ID4ta0m,1041065.0,76.4,FOUR,Śródmieście,False
https://www.otodom.pl/pl/oferta/katowice-paderewskiego-3-pokoje-ogrod-43m-ID4t6Ey,680313.0,55.31,THREE,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/centrum-katowice-zabrska-mickiewicza-22-pietro-ID4t9ZU,734643.0,49.14,TWO,Koszutka,False
https://www.otodom.pl/pl/oferta/centrum-katowice-zabrska-mickiewicza-18-pietro-ID4t9ZL,669468.0,51.33,TWO,Koszutka,False
https://www.otodom.pl/pl/oferta/centrum-katowice-zabrska-mickiewicza-25-pietro-ID4t9Zy,639731.0,46.19,TWO,Koszutka,False
https://www.otodom.pl/pl/oferta/centrum-katowice-zabrska-mickiewicza-2-pokoje-ID4t9Zt,590810.0,45.1,TWO,Koszutka,False
https://www.otodom.pl/pl/oferta/mieszkanie-26-16-m-katowice-ID4t9Yt,353780.0,26.16,ONE,Śródmieście,False
https://www.otodom.pl/pl/oferta/4-pokojowy-segment-z-ogrodem-ID4sj0F,626002.0,78.26,FOUR,Śródmieście,False
https://www.otodom.pl/pl/oferta/apartament-w-samym-centrum-katowic-ID4rpRA,499000.0,67.51,THREE,Śródmieście,False
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-79m2-balkon-ID4puqA,,79.94,FOUR,Brynów-Osiedle Zgrzebnioka,False
https://www.otodom.pl/pl/oferta/4-pokojowy-apart-lux-w-samym-centrum-katowic-50-ID4t9Uk,1094545.32,76.4,FOUR,Śródmieście,False
https://www.otodom.pl/pl/oferta/wygodne-4-pok-mieszkanie-2-balkony-kukurydza-ID4sVoT,510000.0,62.0,FOUR,Osiedle Tysiąclecia,False
https://www.otodom.pl/pl/oferta/mieszkanie-70-34-m-katowice-ID4t9SA,738570.0,70.34,FOUR,Śródmieście,False
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-92m2-balkon-ID4fCdV,863412.0,92.84,FOUR,Piotrowice-Ochojec,False
https://www.otodom.pl/pl/oferta/piekne-i-jasne-m4-w-zielonej-dzielnicy-katowic-ID4qnXm,899000.0,120.0,FOUR,Ligota-Panewniki,False
https://www.otodom.pl/pl/oferta/wyposazone-mieszkanie-gotowe-do-wejscia-jozefowiec-ID4t0Up,350000.0,38.69,TWO,Wełnowiec-Józefowiec,False
https://www.otodom.pl/pl/oferta/uniwersytecka-ID4sLkm,435000.0,36.3,TWO,Śródmieście,False
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-2-ogrodki-ID4rX7L,,37.17,TWO,Brynów-Osiedle Zgrzebnioka,False
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-balkon-ID4o8Vm,,87.82,FOUR,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/300-m-od-parku-slaskiego-42-m-2-pok-ID4t9K4,398000.0,42.0,TWO,Dąb,False
https://www.otodom.pl/pl/oferta/apartament-premium-z-ogrodem-os-platanove-ID4s86g,1084500.0,120.5,FOUR,Piotrowice-Ochojec,False
https://www.otodom.pl/pl/oferta/mieszkanie-w-top-lokalizacji-bez-prowizji-ID4r68u,289000.0,37.2,TWO,Załęska Hałda-Brynów,False
https://www.otodom.pl/pl/oferta/panorama-3-stawy-mieszkanie-2-pok-5-b48-ID4lByj,575316.0,45.66,TWO,Osiedle Paderewskiego-Muchowiec,False
https://www.otodom.pl/pl/oferta/kawalerka-katowice-idealna-inwestycyjnie-ID4sJqM,239000.0,28.6,ONE,Śródmieście,True
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-inwestycyjne-w-katowicach-ID4rTnJ,296000.0,48.0,THREE,Załęże,False
https://www.otodom.pl/pl/oferta/wyjatkowa-inwestycja-w-centrum-katowic-ID4t9Cb,510630.22,36.6,TWO,Koszutka,False
https://www.otodom.pl/pl/oferta/debowe-tarasy-czynsz-160zl-bez-posrednikow-ID4sutV,419000.0,31.95,TWO,Dąb,True
https://www.otodom.pl/pl/oferta/3-pokoje-na-ochojcu-ID4sYF2,375000.0,56.0,THREE,Śródmieście,False
https://www.otodom.pl/pl/oferta/mieszkanie-w-dobrej-lokalizacji-do-remontu-ID4t4mC,489000.0,74.0,FOUR,Załęska Hałda-Brynów,False
https://www.otodom.pl/pl/oferta/gotowe-do-zamieszkania-w-spokojnej-okolicy-ID4t4mB,360000.0,43.0,TWO,Ligota-Panewniki,False
https://www.otodom.pl/pl/oferta/top-widok-2-pokoje-po-generalnym-remoncie-ID4t9vr,409000.0,40.0,TWO,Osiedle Tysiąclecia,False
https://www.otodom.pl/pl/oferta/duzy-potencjal-3-pok-50-m-ID4t9wE,429000.0,50.0,THREE,Osiedle Paderewskiego-Muchowiec,False
